candidate_id,rank,score,reasoning
CAND_0001753,89,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0001771,90,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0001795,91,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0001839,92,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002018,93,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002019,94,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002164,95,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002234,96,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002255,97,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002317,98,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002438,99,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
CAND_0002446,100,0.0,Candidate was present in the submission template but absent from sample_candidates.json.
